"","rho1","theta","beta0","beta1","gg"
"1",0.605799524955566,0,0.147689499238555,0.0526425798210711,0.122322875908696
"2",0.325352443153255,0,0.175017409033311,0.0306223072573605,0.999999245829843
"3",0.962959006727914,0.00750468572534496,0.145951905661379,0.0483396735962049,0.0571047698088588
"4",0.93242125399979,0.986794617042724,0.144430249816894,0.0542300380754878,0.0454030370076457
"5",0.934563749938677,0.97310167809468,0.190534448826536,0.0711193797046448,0.0409086378779348
"6",0.934529729083304,0.993187548226572,0.150084158958222,0.0549766125968052,0.0476903793173512
"7",0.949105738245445,0.000745018948459242,0.136561949389407,0.0566590661557805,0.0561720273017803
"8",0.977337936501004,0.997507332257941,0.0549265660256832,0.0617958741394487,0.0902221777214569
"9",0.949609253294134,0.831164722061963,0.13255630281252,0.0567979312895798,0.0542073175361828
"10",0.978183295018016,0.744475790768503,0.135026155545906,0.0626383172358191,0.0995105054340779
"11",0.957550298263662,0.334849841527217,0.137233092003681,0.0602277952505641,0.0642634327845758
"12",0.955098463500367,0.0074002792295572,0.0966961834546297,0.0625752344673556,0.0508752451680629
"13",0.953808525613423,0.765951580699594,0.14234837124608,0.0652281557632395,0.050664774976103
"14",0.949424172960455,0.763597646132848,0.137239792854564,0.0601591281536923,0.0546286463840366
"15",0.956821739804159,0.999489820077554,0.140233381139802,0.0663725921664326,0.0523957768554358
"16",0.947237060561396,0.999783015506727,0.140719713198144,0.0594183747494899,0.0542425601868871
"17",0.959272441351273,0.991230043998012,0.132010819441889,0.0611854095436803,0.0698452789884062
"18",0.952262408048783,0.999906451180757,0.146215307362835,0.0614926379312046,0.0596879615171731
"19",0.96115015537553,0.125344082694098,0.149252696176542,0.0680846159915404,0.0648725916530207
"20",0.943033225623297,0.92699506177721,0.14524421295382,0.0614255742488148,0.0583905010089743
"21",0.953594300865706,0.997604914059786,0.047393919132309,0.0683751437891178,0.05073951766131
"22",0.981037184009966,0.907818675132968,0.197648781330294,0.0831439691066372,0.0632562721622908
"23",0.965932268122113,0.0611142294782491,0.00296205011439861,0.0784613490829118,0.0493043623437444
"24",0.944758072449854,0.000834730042690116,0.141625244916101,0.0715110987431813,0.0539522503512694
"25",0.549021859243745,0.984696721611867,0.450524946255074,0.0334134772363809,0.986634731068557
"26",0.959113896032671,0.999992802569312,0.000250080244457991,0.0726825398616018,0.0462658364770822
"27",0.942457863788682,0.973400203270792,0.138050772961816,0.0640499575133044,0.0579357909717331
"28",0.941932688397983,0.61194689710148,0.139248379864042,0.0656651053624564,0.0557663020948584
"29",0.946769501815495,0.610392340551107,0.132481758043736,0.0653740430253659,0.0573606252184442
"30",0.944447706926119,0.364722618346231,0.133868712689325,0.0627168031697294,0.0599749559522032
